"dog","task","chemical","trained","value"
"19","b","2E1H",FALSE,0
"19","b","2E1H",TRUE,0
"19","b","Ammonia",FALSE,2
"19","b","Ammonia",TRUE,6
"19","e","2E1H",FALSE,0
"19","e","2E1H",TRUE,0
"19","e","Ammonia",FALSE,1
"19","e","Ammonia",TRUE,0
"19","f","2E1H",FALSE,0
"19","f","2E1H",TRUE,0
"19","f","Ammonia",FALSE,0
"19","f","Ammonia",TRUE,0
"19","h","2E1H",FALSE,2
"19","h","2E1H",TRUE,1
"19","h","Ammonia",FALSE,2
"19","h","Ammonia",TRUE,4
"19","k","2E1H",FALSE,1
"19","k","2E1H",TRUE,0
"19","k","Ammonia",FALSE,2
"19","k","Ammonia",TRUE,4
"19","n","2E1H",FALSE,1
"19","n","2E1H",TRUE,1
"19","n","Ammonia",FALSE,1
"19","n","Ammonia",TRUE,0
"19","v","2E1H",FALSE,0
"19","v","2E1H",TRUE,0
"19","v","Ammonia",FALSE,0
"19","v","Ammonia",TRUE,0
"19","w","2E1H",FALSE,6
"19","w","2E1H",TRUE,4
"19","w","Ammonia",FALSE,4
"19","w","Ammonia",TRUE,6
"2","b","2E1H",FALSE,2
"2","b","2E1H",TRUE,2
"2","b","Ammonia",FALSE,0
"2","b","Ammonia",TRUE,0
"2","e","2E1H",FALSE,5
"2","e","2E1H",TRUE,0
"2","e","Ammonia",FALSE,4
"2","e","Ammonia",TRUE,0
"2","f","2E1H",FALSE,0
"2","f","2E1H",TRUE,0
"2","f","Ammonia",FALSE,0
"2","f","Ammonia",TRUE,0
"2","h","2E1H",FALSE,17
"2","h","2E1H",TRUE,5
"2","h","Ammonia",FALSE,6
"2","h","Ammonia",TRUE,8
"2","k","2E1H",FALSE,1
"2","k","2E1H",TRUE,4
"2","k","Ammonia",FALSE,0
"2","k","Ammonia",TRUE,3
"2","n","2E1H",FALSE,2
"2","n","2E1H",TRUE,1
"2","n","Ammonia",FALSE,2
"2","n","Ammonia",TRUE,0
"2","v","2E1H",FALSE,0
"2","v","2E1H",TRUE,0
"2","v","Ammonia",FALSE,0
"2","v","Ammonia",TRUE,0
"2","w","2E1H",FALSE,6
"2","w","2E1H",TRUE,4
"2","w","Ammonia",FALSE,2
"2","w","Ammonia",TRUE,0
"20","b","2E1H",FALSE,1
"20","b","2E1H",TRUE,0
"20","b","Ammonia",FALSE,0
"20","b","Ammonia",TRUE,0
"20","e","2E1H",FALSE,0
"20","e","2E1H",TRUE,6
"20","e","Ammonia",FALSE,1
"20","e","Ammonia",TRUE,2
"20","f","2E1H",FALSE,0
"20","f","2E1H",TRUE,0
"20","f","Ammonia",FALSE,0
"20","f","Ammonia",TRUE,0
"20","h","2E1H",FALSE,8
"20","h","2E1H",TRUE,1
"20","h","Ammonia",FALSE,8
"20","h","Ammonia",TRUE,2
"20","k","2E1H",FALSE,0
"20","k","2E1H",TRUE,0
"20","k","Ammonia",FALSE,1
"20","k","Ammonia",TRUE,0
"20","n","2E1H",FALSE,0
"20","n","2E1H",TRUE,0
"20","n","Ammonia",FALSE,0
"20","n","Ammonia",TRUE,0
"20","v","2E1H",FALSE,0
"20","v","2E1H",TRUE,0
"20","v","Ammonia",FALSE,0
"20","v","Ammonia",TRUE,0
"20","w","2E1H",FALSE,0
"20","w","2E1H",TRUE,0
"20","w","Ammonia",FALSE,1
"20","w","Ammonia",TRUE,0
"21","b","2E1H",TRUE,0
"21","b","Ammonia",TRUE,0
"21","e","2E1H",TRUE,2
"21","e","Ammonia",TRUE,1
"21","f","2E1H",TRUE,0
"21","f","Ammonia",TRUE,0
"21","h","2E1H",TRUE,2
"21","h","Ammonia",TRUE,1
"21","k","2E1H",TRUE,1
"21","k","Ammonia",TRUE,0
"21","n","2E1H",TRUE,1
"21","n","Ammonia",TRUE,0
"21","v","2E1H",TRUE,1
"21","v","Ammonia",TRUE,0
"21","w","2E1H",TRUE,7
"21","w","Ammonia",TRUE,4
"22","b","2E1H",FALSE,0
"22","b","2E1H",TRUE,0
"22","b","Ammonia",FALSE,1
"22","b","Ammonia",TRUE,0
"22","e","2E1H",FALSE,0
"22","e","2E1H",TRUE,1
"22","e","Ammonia",FALSE,0
"22","e","Ammonia",TRUE,0
"22","f","2E1H",FALSE,0
"22","f","2E1H",TRUE,0
"22","f","Ammonia",FALSE,0
"22","f","Ammonia",TRUE,0
"22","h","2E1H",FALSE,1
"22","h","2E1H",TRUE,1
"22","h","Ammonia",FALSE,2
"22","h","Ammonia",TRUE,2
"22","k","2E1H",FALSE,1
"22","k","2E1H",TRUE,2
"22","k","Ammonia",FALSE,4
"22","k","Ammonia",TRUE,1
"22","n","2E1H",FALSE,0
"22","n","2E1H",TRUE,0
"22","n","Ammonia",FALSE,0
"22","n","Ammonia",TRUE,0
"22","v","2E1H",FALSE,0
"22","v","2E1H",TRUE,0
"22","v","Ammonia",FALSE,0
"22","v","Ammonia",TRUE,0
"22","w","2E1H",FALSE,0
"22","w","2E1H",TRUE,4
"22","w","Ammonia",FALSE,2
"22","w","Ammonia",TRUE,2
"23","b","2E1H",FALSE,1
"23","b","2E1H",TRUE,2
"23","b","Ammonia",FALSE,0
"23","b","Ammonia",TRUE,1
"23","e","2E1H",FALSE,0
"23","e","2E1H",TRUE,0
"23","e","Ammonia",FALSE,0
"23","e","Ammonia",TRUE,0
"23","f","2E1H",FALSE,0
"23","f","2E1H",TRUE,0
"23","f","Ammonia",FALSE,0
"23","f","Ammonia",TRUE,0
"23","h","2E1H",FALSE,2
"23","h","2E1H",TRUE,11
"23","h","Ammonia",FALSE,1
"23","h","Ammonia",TRUE,5
"23","k","2E1H",FALSE,2
"23","k","2E1H",TRUE,1
"23","k","Ammonia",FALSE,1
"23","k","Ammonia",TRUE,0
"23","n","2E1H",FALSE,0
"23","n","2E1H",TRUE,0
"23","n","Ammonia",FALSE,0
"23","n","Ammonia",TRUE,0
"23","v","2E1H",FALSE,0
"23","v","2E1H",TRUE,0
"23","v","Ammonia",FALSE,0
"23","v","Ammonia",TRUE,0
"23","w","2E1H",FALSE,5
"23","w","2E1H",TRUE,13
"23","w","Ammonia",FALSE,3
"23","w","Ammonia",TRUE,7
"24","b","2E1H",FALSE,0
"24","b","2E1H",TRUE,0
"24","b","Ammonia",FALSE,0
"24","b","Ammonia",TRUE,0
"24","e","2E1H",FALSE,4
"24","e","2E1H",TRUE,0
"24","e","Ammonia",FALSE,1
"24","e","Ammonia",TRUE,0
"24","f","2E1H",FALSE,0
"24","f","2E1H",TRUE,0
"24","f","Ammonia",FALSE,1
"24","f","Ammonia",TRUE,0
"24","h","2E1H",FALSE,3
"24","h","2E1H",TRUE,0
"24","h","Ammonia",FALSE,1
"24","h","Ammonia",TRUE,0
"24","k","2E1H",FALSE,0
"24","k","2E1H",TRUE,0
"24","k","Ammonia",FALSE,0
"24","k","Ammonia",TRUE,1
"24","n","2E1H",FALSE,2
"24","n","2E1H",TRUE,0
"24","n","Ammonia",FALSE,0
"24","n","Ammonia",TRUE,0
"24","v","2E1H",FALSE,1
"24","v","2E1H",TRUE,0
"24","v","Ammonia",FALSE,2
"24","v","Ammonia",TRUE,0
"24","w","2E1H",FALSE,4
"24","w","2E1H",TRUE,2
"24","w","Ammonia",FALSE,6
"24","w","Ammonia",TRUE,5
"9","b","2E1H",FALSE,0
"9","b","2E1H",TRUE,0
"9","b","Ammonia",FALSE,0
"9","e","2E1H",FALSE,1
"9","e","2E1H",TRUE,0
"9","e","Ammonia",FALSE,0
"9","f","2E1H",FALSE,0
"9","f","2E1H",TRUE,0
"9","f","Ammonia",FALSE,0
"9","h","2E1H",FALSE,5
"9","h","2E1H",TRUE,0
"9","h","Ammonia",FALSE,2
"9","k","2E1H",FALSE,0
"9","k","2E1H",TRUE,0
"9","k","Ammonia",FALSE,0
"9","n","2E1H",FALSE,3
"9","n","2E1H",TRUE,0
"9","n","Ammonia",FALSE,1
"9","v","2E1H",FALSE,0
"9","v","2E1H",TRUE,0
"9","v","Ammonia",FALSE,0
"9","w","2E1H",FALSE,0
"9","w","2E1H",TRUE,3
"9","w","Ammonia",FALSE,0
NA,"b",NA,NA,0
NA,"e",NA,NA,0
NA,"f",NA,NA,0
NA,"h",NA,NA,0
NA,"k",NA,NA,0
NA,"n",NA,NA,0
NA,"v",NA,NA,0
NA,"w",NA,NA,0
